
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003779                       # Number of seconds simulated (Second)
simTicks                                   3778854000                       # Number of ticks simulated (Tick)
finalTick                                  3778854000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     20.07                       # Real time elapsed on the host (Second)
hostTickRate                                188245655                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     706980                       # Number of bytes of host memory used (Byte)
simInsts                                     11020341                       # Number of instructions simulated (Count)
simOps                                       14628708                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   548750                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     728404                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          3778855                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.342898                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.916318                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14872081                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       84                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14781085                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    598                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               243451                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            437376                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  48                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3747982                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.943745                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.749307                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    151078      4.03%      4.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     52088      1.39%      5.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    537534     14.34%     19.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1063922     28.39%     48.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    328864      8.77%     56.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    808784     21.58%     78.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    540528     14.42%     92.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    261853      6.99%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      3331      0.09%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3747982                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    5454     40.95%     40.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     40.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     40.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     40.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     40.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     40.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     40.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     40.95% # attempts to use FU when none available (Count)
