
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003775                       # Number of seconds simulated (Second)
simTicks                                   3775326000                       # Number of ticks simulated (Tick)
finalTick                                  3775326000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     19.73                       # Real time elapsed on the host (Second)
hostTickRate                                191293856                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     706980                       # Number of bytes of host memory used (Byte)
simInsts                                     11020341                       # Number of instructions simulated (Count)
simOps                                       14628708                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   558324                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     741110                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          3775327                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.342578                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.919043                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14860239                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       78                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14774422                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    432                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               231603                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            408465                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  42                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3744031                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.946127                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.746886                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    149092      3.98%      3.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     50948      1.36%      5.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    537725     14.36%     19.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1064223     28.42%     48.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    328382      8.77%     56.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    808326     21.59%     78.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    540377     14.43%     92.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    261729      6.99%     99.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      3229      0.09%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3744031                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    5568     41.50%     41.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     41.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     41.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     41.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     41.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     41.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     41.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     41.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     41.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     41.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     41.50% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     41.50% # attempts to use FU when none available (Count)
