
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008372                       # Number of seconds simulated (Second)
simTicks                                   8372113000                       # Number of ticks simulated (Tick)
finalTick                                  8372113000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     64.81                       # Real time elapsed on the host (Second)
hostTickRate                                129175060                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     727620                       # Number of bytes of host memory used (Byte)
simInsts                                     22040682                       # Number of instructions simulated (Count)
simOps                                       29257416                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   340018                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     451344                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          8372114                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.379848                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.632630                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        40167947                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      144                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       36093193                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 633068                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             10910669                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          23066160                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  72                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             8355132                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.319883                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.254973                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    480044      5.75%      5.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    532806      6.38%     12.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1007665     12.06%     24.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1123359     13.45%     37.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1069953     12.81%     50.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1251862     14.98%     65.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1292424     15.47%     80.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    894838     10.71%     91.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    702181      8.40%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               8355132                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  649234     89.69%     89.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     89.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     89.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     89.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     89.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     89.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     89.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     89.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     89.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     89.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     89.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      3      0.00%     89.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     89.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     28      0.00%     89.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     89.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     20      0.00%     89.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     6      0.00%     89.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     89.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     89.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     89.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   24      0.00%     89.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     89.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     89.70% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     89.70% # attempts to use FU when none available (Count)
